437,1,1,7300181,0.25,1,19:00
437,2,2,1259078,0.25,1,19:01
437,3,3,1259078,3,5,19:02
437,4,4,7089155,2,4,19:07
437,5,5,7089164,0.25,1,19:11
437,6,6,2898721,0.25,1,19:12
437,7,7,7300181,0.25,1,19:13
437,8,8,1259078,2,3,19:14
437,9,9,7300213,5,7,19:32
437,10,9,2030449,5,7,19:39
437,11,10,7089164,0.25,1,19:46
437,12,11,7089155,0.25,1,19:47
437,13,12,1118767,5,15,19:48
437,14,10,7089164,0.25,1,20:03
437,15,13,7089155,0.25,1,20:04
437,16,14,942855,1,2,20:05
437,17,15,6657424,2,3,20:07
437,18,15,740032,2,3,20:10
437,19,10,7089164,0.25,1,20:13
437,20,16,2898721,1,2,20:14
437,21,17,7300181,0.25,1,20:16
437,22,18,942855,2,4,20:17
437,23,19,7089155,0.25,1,20:21
437,24,20,740032,1,2,20:22
437,25,21,1259078,1,2,20:24
438,1,1,6657422,0.25,1,19:00
438,2,2,1259078,0.25,1,19:01
438,3,3,1259078,3,5,19:02
438,4,4,7092764,2,4,19:07
438,5,5,7089164,0.25,1,19:11
438,6,6,2898721,0.25,1,19:12
438,7,7,7300181,0.25,1,19:13
438,8,8,1259078,2,3,19:14
438,9,9,6548172,5,7,19:32
438,10,9,3202174,5,7,19:39
438,11,9,6841163,5,7,19:46
438,12,10,7089164,0.25,1,19:53
438,13,11,7089155,0.25,1,19:54
438,14,12,1118767,5,15,19:55
438,15,10,7089164,0.25,1,20:10
438,16,13,7089155,0.25,1,20:11
438,17,14,942855,1,2,20:12
438,18,15,6657424,2,3,20:14
438,19,15,740032,2,3,20:17
438,20,10,7089164,0.25,1,20:20
438,21,16,2898721,1,2,20:21
438,22,17,7300181,0.25,1,20:23
438,23,18,942855,2,4,20:24
438,24,19,7089155,0.25,1,20:28
438,25,20,740032,1,2,20:29
438,26,21,1259078,1,2,20:31
